,listing code,brand,model,reference number,dealer product code,movement,case material,bracelet material,year of production,condition,scope of delivery,gender,location,price,url
37,by5g04,roger dubuis,golden square,g40-gs-rg-s,w188806,manual winding,red gold,<blank>,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,56254,https://www.chrono24.com/rogerdubuis/-roger-dubuis---28-g40-gs-rg-s------id20069136.htm
38,ce6ox3,roger dubuis,excalibur,rddbex0756,w206808,automatic,titanium,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,56254,https://www.chrono24.com/rogerdubuis/-roger-dubuis----88-rddbex0756-----id20817249.htm
39,csanl7,roger dubuis,excalibur,rddbex0828,rddbex0828,automatic,carbon,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,55789,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-45mm--id21475569.htm
40,csank5,roger dubuis,excalibur,rddbex0828,rddbex0828,automatic,carbon,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,55789,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-45mm--id21475568.htm
41,cfh1p9,roger dubuis,excalibur,rddbex0750,11753,<blank>,<blank>,rubber,2021,"very good 
                     (worn with little to no signs of wear)",original box; original papers,<blank>,switzerland; lausanne,55611,https://www.chrono24.com/rogerdubuis/excalibur-spider-rddbex0750--id20877325.htm
42,ammo23,roger dubuis,excalibur,rddbex0745,<blank>,automatic,steel,leather,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,united states of america; california; beverly hills,55000,https://www.chrono24.com/rogerdubuis/roger-dubuis-rddbex0745--id17851970.htm
43,cugsn2,roger dubuis,sympathie,sy43 5610 0,42080025379055,manual winding,white gold,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,<blank>,united states of america; california; beverly hills,55000,https://www.chrono24.com/rogerdubuis/white-gold-perpetual-calendar-chronograph-watch--id21576839.htm
44,bb6pr6,roger dubuis,excalibur,dbex0508,<blank>,automatic,carbon,rubber,2018,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,united states of america; new york; new york,55000,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-automatic-skeleton--id18997695.htm
45,cd4rk2,roger dubuis,sympathie,h40 5630 5,199697,automatic,yellow gold,crocodile skin,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,men's watch/unisex,united states of america; pennsylvania; southampton,54995,https://www.chrono24.com/rogerdubuis/roger-dubuis-sympathie-bi-retrograde-chronograph-watch-h40-5630-5--id20768096.htm
46,cwniz3,roger dubuis,excalibur,rddbex0777,y196cc,automatic,carbon,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original papers; no original box,men's watch/unisex,china; 南京,54698,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-ntpt-rddbex0777--id21678875.htm
47,cwrme8,roger dubuis,excalibur,rddbex0793,40155,automatic,steel,steel,unknown,<blank>,original box; original papers,men's watch/unisex,united states of america; massachusetts; boston,54500,https://www.chrono24.com/rogerdubuis/excalibur-42-skeleton-micro-rotor-automatic-ss--ss-rare--id21684182.htm
48,bz2bi0,roger dubuis,excalibur,rddbex0777,<blank>,<blank>,<blank>,<blank>,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,<blank>,spain; madrid,53576,https://www.chrono24.com/rogerdubuis/roger-dubuis-rddbex0777--id20111742.htm
49,ckzra6,roger dubuis,excalibur,rddbex0803,90390/w190nw,automatic,steel,<blank>,2019,"very good 
                     (worn with little to no signs of wear)",original papers; no original box,men's watch/unisex,china; 南京,53555,https://www.chrono24.com/rogerdubuis/roger-dubuis-2019-limited-of-88-pieces-excalibur-chronograph-rddbex0803--id21134854.htm
50,c9rmb0,roger dubuis,excalibur,rddbex0508,08/2021/0854/1,automatic,carbon,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,czech republic; praha 1,53460,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur--id20611091.htm
51,clayg8,roger dubuis,sympathie,roger dubuis sympathie,<blank>,manual winding,white gold,<blank>,1998,"very good 
                     (worn with little to no signs of wear)",original box; no original papers,men's watch/unisex,singapore; singapore,53000,https://www.chrono24.com/rogerdubuis/roger-dubuis-sympathie--id21149368.htm
52,cfomv4,roger dubuis,hommage,h40-5630,<blank>,manual winding,rose gold,leather,2000,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,denmark; hellerup,52966,https://www.chrono24.com/rogerdubuis/roger-dubuis-hommage-chronograph-bi-retrograde-18k-h40-5630--id20887159.htm
53,c77s61,roger dubuis,hommage,h37 5707 5,4403622,automatic,rose gold,crocodile skin,unknown,<blank>,no original box; no original papers,men's watch/unisex,united states of america; pennsylvania; bala cynwyd,52950,https://www.chrono24.com/rogerdubuis/pre-owned-hommage-perpetual-calendar-retrograde--id20492070.htm
54,cu6rk6,roger dubuis,<blank>,<blank>,10107513,automatic,<blank>,rubber,2020,<blank>,original papers; no original box,<blank>,japan; tokyo,52784,https://www.chrono24.com/rogerdubuis/-45---dbex0705---id21563840.htm
55,by4ap3,roger dubuis,excalibur,rddbex0450,w159152,automatic,rose gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,52166,https://www.chrono24.com/rogerdubuis/-roger-dubuis--42---rddbex0450------id20067649.htm
56,by6765,roger dubuis,excalibur,rddbex0450,w146423,automatic,rose gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,52166,https://www.chrono24.com/rogerdubuis/-roger-dubuis--42---rddbex0450------id20070114.htm
57,by3dl9,roger dubuis,excalibur,rddbex0450,w156647,automatic,rose gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,52166,https://www.chrono24.com/rogerdubuis/-roger-dubuis--42---rddbex0450------id20066457.htm
58,by3dm1,roger dubuis,excalibur,rddbex0450,w156646,automatic,rose gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,52166,https://www.chrono24.com/rogerdubuis/-roger-dubuis--42---rddbex0450------id20066458.htm
59,by40k9,roger dubuis,excalibur,rddbex0450,w150641,automatic,rose gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,52166,https://www.chrono24.com/rogerdubuis/-roger-dubuis--42---rddbex0450------id20067284.htm
60,cei5n0,roger dubuis,easy diver,se48 02 5 k9.53,w521277,manual winding,rose gold,rubber,unknown,"very good 
                     (worn with little to no signs of wear)",original box; no original papers,men's watch/unisex,united states of america; florida; surfside,52000,https://www.chrono24.com/rogerdubuis/easy-diver-se48-02-5-k953-18k-rose-gold-47mm-watch--id20832107.htm
61,96g861,roger dubuis,excalibur,dbex0137,<blank>,automatic,white gold,<blank>,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,women's watch,switzerland; erlinsbach,50251,https://www.chrono24.com/rogerdubuis/excalibur-excalibur-watch-white-gold-limited-edition-no1-out-of-28--id15417510.htm
62,bukpu8,roger dubuis,excalibur,rddbex0829,<blank>,automatic,titanium,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; tsim sha tsui,49953,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-black-dlc-titanium-45mm--id19902306.htm
63,cw1hl9,roger dubuis,hommage,h40 5632 5,37301,automatic,rose gold,crocodile skin,unknown,<blank>,original papers; no original box,men's watch/unisex,united states of america; massachusetts; boston,49500,https://www.chrono24.com/rogerdubuis/hommage-h40-18k-rose-gold-perpetual-calendar-bi-retrograde-rare-full-set--id21650313.htm
64,ce87h2,roger dubuis,golden square,g40 02sq 5 v.10a,66485,manual winding,rose gold,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",original box; no original papers,men's watch/unisex,united states of america; florida; north miami beach,49115,https://www.chrono24.com/rogerdubuis/golden-square-18k-rose-gold-limited-edition-mens-watch-preowned-g40-02sq-5-v10a--id20819213.htm
65,cccqe8,roger dubuis,<blank>,sed48,<blank>,manual winding,steel,rubber,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,men's watch/unisex,united states of america; california; beverly hills,48000,https://www.chrono24.com/rogerdubuis/roger-dubuis-sed48-02sq-71-00s9000a1--id20731766.htm
66,coi7h7,roger dubuis,excalibur,rddbex0830,ow503362,automatic,titanium,textile,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,<blank>,united kingdom; london,47717,https://www.chrono24.com/rogerdubuis/excalibur-spider-huracan-rddbex0830--id21298733.htm
67,by4ao1,roger dubuis,excalibur,rddbex0483,w159153,automatic,rose gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,47669,https://www.chrono24.com/rogerdubuis/-roger-dubuis--42--rddbex0483------id20067648.htm
68,bxqrv4,roger dubuis,excalibur,rddbex0508,<blank>,<blank>,carbon,<blank>,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,<blank>,china; shanghai,<blank>,<blank>
69,cqa7e3,roger dubuis,excalibur,rddbex0749,w209372,automatic,titanium,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,47579,https://www.chrono24.com/rogerdubuis/-roger-dubuis---rddbex0749------id21381674.htm
70,bwqpf4,roger dubuis,excalibur,rddbex0508,<blank>,automatic,carbon,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,men's watch/unisex,hong kong; hong kong,47323,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-automatic-skeleton-ntpt-rddbex0508--id20003379.htm
71,by6791,roger dubuis,excalibur,rddbex0356,w146426,automatic,rose gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,47129,https://www.chrono24.com/rogerdubuis/-roger-dubuis--42---rddbex0356------id20070117.htm
72,29gx15,roger dubuis,excalibur,rddbex0390,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,46005,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-42-chronograph--id3801061.htm
73,atgfe7,roger dubuis,golden square,g40 035 n1 62,<blank>,manual winding,rose gold,leather,2015,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united states of america; florida; aventura,46000,https://www.chrono24.com/rogerdubuis/roger-dubuis-golden-square--id18170474.htm
74,buf9n2,roger dubuis,excalibur,rddbex0261,1103,automatic,<blank>,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,russia; москва,45500,https://www.chrono24.com/rogerdubuis/--roger-dubuis-flying-tourbillon-1103--id19895243.htm
75,c7ucf7,roger dubuis,excalibur,rddbex0473,<blank>,automatic,titanium,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,china; shanghai,45368,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-skeleton-titanium-rddbex0473--id20521311.htm
76,c7jk29,roger dubuis,excalibur,rddbex0473,<blank>,automatic,titanium,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,44694,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-skeleton-titanum-dbex0473--id20507330.htm
77,bb0x10,roger dubuis,excalibur,rddbex0748,<blank>,automatic,titanium,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,44694,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-titanium-grey-new-full-set--id18990181.htm
78,bb0z45,roger dubuis,excalibur,rddbex0749,<blank>,automatic,titanium,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,44694,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-titanium-case-blue-new-full-set--id18990256.htm
79,apxy02,roger dubuis,velvet,rddbve0007,<blank>,automatic,white gold,textile,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,women's watch,mexico; mexico,43991,https://www.chrono24.com/rogerdubuis/roger-dubuis-velvet-automatic-36-mm--id18006552.htm
80,7v7w79,roger dubuis,velvet,rddbve0007,<blank>,automatic,white gold,textile,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,women's watch,united kingdom; london,43991,https://www.chrono24.com/rogerdubuis/roger-dubuis-velvet-automatic-36-mm--id13213879.htm
81,3utao3,roger dubuis,velvet,rddbve0007,<blank>,automatic,white gold,textile,2016,"new 
                     (brand new; without any signs of wear)",original box; original papers,women's watch,mexico; mexico,43800,https://www.chrono24.com/rogerdubuis/velvet--id6476496.htm
82,caceq5,roger dubuis,hommage,<blank>,<blank>,automatic,white gold,crocodile skin,1998,"very good 
                     (worn with little to no signs of wear)",original box; original papers,<blank>,belgium; bruxelles,43793,https://www.chrono24.com/rogerdubuis/roger-dubuis-1998-hommage-h37-wg-limited-28-pces-perpetual-calendar-full-set-rd-service--id20638034.htm
83,bbofy8,roger dubuis,excalibur,rddbex0473,<blank>,automatic,titanium,crocodile skin,2018 (approximation),"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,switzerland; geneva,43676,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-skeleton--rddbex0473--id19020670.htm
84,csaux8,roger dubuis,excalibur,rddbex0749,rddbex0749,automatic,titanium,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,43327,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-45mm--id21475833.htm
85,csauw6,roger dubuis,excalibur,rddbex0749,rddbex0749,automatic,titanium,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,43327,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-45mm--id21475832.htm
86,cnfpm2,roger dubuis,excalibur,rddbex0829,z128nu,automatic,titanium,titanium,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,china; 南京,43259,https://www.chrono24.com/rogerdubuis/roger-dubuis-2021-excalibur-spider-titanium-rddbex0829--id21248842.htm
87,co6dx8,roger dubuis,excalibur,dbex0803,w200911,automatic,titanium,<blank>,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,43172,https://www.chrono24.com/rogerdubuis/-roger-dubuis----88-dbex0803------id21283413.htm
88,co6e57,roger dubuis,excalibur,rddbex0553,w208164,automatic,titanium,<blank>,unknown,"good 
                     (light signs of wear or scratches)",original box; no original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,43172,https://www.chrono24.com/rogerdubuis/-roger-dubuis--42---rddbex0553------id21283421.htm
89,cp21o5,roger dubuis,excalibur,dbex0803,w208353,automatic,titanium,<blank>,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,43172,https://www.chrono24.com/rogerdubuis/-roger-dubuis----88-dbex0803------id21324444.htm
90,9udal2,roger dubuis,excalibur,rddbex0749,<blank>,automatic,titanium,calf skin,2021,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,43094,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-huracan--id16533453.htm
91,codxn0,roger dubuis,hommage,ho43 1439 0 np1r.7a,<blank>,automatic,white gold,crocodile skin,2004 (approximation),"very good 
                     (worn with little to no signs of wear)",original box; no original papers,men's watch/unisex,france; corbieres en provence,43094,https://www.chrono24.com/rogerdubuis/hommage--id21293195.htm
92,aoi3f8,roger dubuis,excalibur,rddbex0829,<blank>,automatic,titanium,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,42854,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-black-dlc-titanium-new-full-set--id17939355.htm
93,29iyc3,roger dubuis,velvet,rddbve0020,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,women's watch,united kingdom; london,42674,https://www.chrono24.com/rogerdubuis/roger-dubuis-velvet-automatic--id3803700.htm
94,csar89,roger dubuis,excalibur,rddbex0829,rddbex0829,automatic,titanium,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,42628,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-45mm--id21475700.htm
95,csar68,roger dubuis,excalibur,rddbex0829,rddbex0829,automatic,titanium,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,42628,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-45mm--id21475698.htm
96,csawa1,roger dubuis,excalibur,rddbex0748,rddbex0748,automatic,titanium,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,42628,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-45mm--id21475882.htm
97,csaw99,roger dubuis,excalibur,rddbex0748,rddbex0748,automatic,titanium,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,42628,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-45mm--id21475881.htm
98,7v4vm9,roger dubuis,velvet,rddbve0073,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,women's watch,united kingdom; london,42069,https://www.chrono24.com/rogerdubuis/roger-dubuis-velvet-36-mm--id13209970.htm
99,apxu84,roger dubuis,velvet,rddbve0073,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,women's watch,mexico; mexico,42069,https://www.chrono24.com/rogerdubuis/roger-dubuis-velvet-36-mm--id18006416.htm
100,ba2s67,roger dubuis,golden square,g40,<blank>,<blank>,<blank>,<blank>,unknown,"unworn 
                     (mint condition; without signs of wear)",original box; no original papers,men's watch/unisex,united states of america; florida; north miami beach,<blank>,<blank>
101,cpmeb0,roger dubuis,golden square,g40035,9312,automatic,rose gold,leather,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,<blank>,monaco; monaco,41929,https://www.chrono24.com/rogerdubuis/golden-square-tourbillon-rose-gold---g40035--id21350819.htm
102,cmh8t1,roger dubuis,excalibur,rddbex0749,m412nm,automatic,titanium,crocodile skin,2020,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,china; 南京,41811,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-titanium-carbon-rddbex0749--id21204173.htm
103,cufpu0,roger dubuis,excalibur,rddbex0829,<blank>,automatic,titanium,textile,2021,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,china; 上海市,41797,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider--id21575442.htm
104,8m7nc9,roger dubuis,velvet,rddbve0007,<blank>,automatic,white gold,textile,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,women's watch,australia; melbourne,40927,https://www.chrono24.com/rogerdubuis/velvet-automatic-36-mm--id14473272.htm
105,29iou8,roger dubuis,hommage,rddbho0569,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,40485,https://www.chrono24.com/rogerdubuis/roger-dubuis-hommage-chronograph-in-pink-gold--id3803358.htm
106,bbcgn8,roger dubuis,velvet,rddbve0008,rddbve0008,automatic,rose gold,rose gold,2021,"new 
                     (brand new; without any signs of wear)",original box; original papers,women's watch,united kingdom; london,40287,https://www.chrono24.com/rogerdubuis/roger-dubuis-velvet-36mm--id19005143.htm
107,ctopw0,roger dubuis,excalibur,rddbex0748,90390/w344nw,automatic,titanium,rubber,2021,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,china; 南京,40218,https://www.chrono24.com/rogerdubuis/roger-dubuis-2021-excalibur-spider-titanium-rddbex0748--id21540452.htm
108,chpps1,roger dubuis,excalibur,rddbex0829,c053ng,automatic,titanium,titanium,2021,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,china; 南京,40218,https://www.chrono24.com/rogerdubuis/roger-dubuis-2021-excalibur-spider-titanium-rddbex0829--id20981872.htm
109,co4zr1,roger dubuis,excalibur,rddbex0748,c349ng,automatic,titanium,rubber,2021,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,china; 南京,40218,https://www.chrono24.com/rogerdubuis/roger-dubuis-2021-excalibur-spider-titanium-rddbex0748--id21281607.htm
110,1waqp3,roger dubuis,easy diver,<blank>,<blank>,manual winding,steel,leather,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,men's watch/unisex,united states of america; new york; greenvale,39999,https://www.chrono24.com/rogerdubuis/easy-diver-tourbillon-49mm-limited-edition--id3186529.htm
111,92ln90,roger dubuis,excalibur,rddbex0748,<blank>,automatic,titanium,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,uae; dubai,39700,https://www.chrono24.com/rogerdubuis/excalibur-huracan--id15237909.htm
112,48ibm1,roger dubuis,kingsquare,roger dubuis dbks0043,<blank>,manual winding,palladium,leather,2014 (approximation),"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,39436,https://www.chrono24.com/rogerdubuis/roger-dubuis-dbks0043--id7115458.htm
113,8m7ko3,roger dubuis,velvet,rddbve0073,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,women's watch,australia; melbourne,39157,https://www.chrono24.com/rogerdubuis/velvet-36-mm--id14473176.htm
114,8zkhm5,roger dubuis,excalibur,rddbex0748,<blank>,automatic,titanium,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; tsim sha tsui; kowloon; hong kong,39042,https://www.chrono24.com/rogerdubuis/excalibur-huracan--id15096442.htm
115,5hmva1,roger dubuis,golden square,g40 02sq 7 v3.79,<blank>,manual winding,white gold,rubber,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,uae; dubai,38480,https://www.chrono24.com/rogerdubuis/roger-dubuis-square-skeleton-tourbillon--id9220870.htm
116,5kn195,roger dubuis,easy diver,dbse081,<blank>,manual winding,steel,leather,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,men's watch/unisex,united states of america; california; beverly hills,38400,https://www.chrono24.com/rogerdubuis/roger-dubuis-dbse081--id9361053.htm
117,aloq29,roger dubuis,sympathie,<blank>,w1768,automatic,rose gold,leather,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,men's watch/unisex,taiwan; taipei,38000,https://www.chrono24.com/rogerdubuis/roger-dubuis-sympathie-bi-retro-perpetual-calendar--id17807978.htm
118,cw1hk7,roger dubuis,sympathie,s40.5635.5,37431,manual winding,rose gold,crocodile skin,unknown,<blank>,original box; original papers,men's watch/unisex,united states of america; massachusetts; boston,37500,https://www.chrono24.com/rogerdubuis/sympathie-s40-18k-rose-gold-double-retrograde-calendar-chronograph-nice--id21650312.htm
119,by6h91,roger dubuis,la monégasque,rddbmg0008,w134585,automatic,red gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,37416,https://www.chrono24.com/rogerdubuis/-roger-dubuis----rddbmg0008------id20070477.htm
0,by6tr6,roger dubuis,la monégasque,dbmg0004,w139547,automatic,red gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,37416,https://www.chrono24.com/rogerdubuis/-roger-dubuis----dbmg0004------id20070927.htm
1,by6631,roger dubuis,la monégasque,rddbmg0008,w146431,automatic,red gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,37416,https://www.chrono24.com/rogerdubuis/-roger-dubuis----rddbmg0008------id20070075.htm
2,cubti2,roger dubuis,la monégasque,dbmg0004,w146430,automatic,red gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,37416,https://www.chrono24.com/rogerdubuis/-roger-dubuis----dbmg0004------id21570390.htm
3,cubs97,roger dubuis,la monégasque,dbmg0004,w143127,automatic,red gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,37416,https://www.chrono24.com/rogerdubuis/-roger-dubuis----dbmg0004------id21570345.htm
4,by7te1,roger dubuis,la monégasque,rddbmg0008,w135462,automatic,red gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,37416,https://www.chrono24.com/rogerdubuis/-roger-dubuis----rddbmg0008------id20072210.htm
5,8m7nb7,roger dubuis,velvet,rddbve0007,<blank>,automatic,white gold,textile,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,women's watch,hong kong; hong kong,37200,https://www.chrono24.com/rogerdubuis/velvet-automatic-36-mm--id14473271.htm
6,bf98d7,roger dubuis,velvet,rddbve0008,s8100205917,automatic,yellow gold,yellow gold,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,women's watch,the netherlands; amsterdam,36630,https://www.chrono24.com/rogerdubuis/velvet-36-mm--id19187581.htm
7,cubb30,roger dubuis,golden square,g40,used4440,manual winding,titanium,<blank>,unknown,"fair 
                     (obvious signs of wear or scratches)",no original box; no original papers,men's watch/unisex,japan; tokyo,36158,https://www.chrono24.com/rogerdubuis/roger-dubuis-g40------280--id21569727.htm
8,clt888,roger dubuis,excalibur,dbex0749,<blank>,automatic,titanium,textile,2019,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,japan; hyogo,36158,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-huracan-blue--id21173048.htm
9,buxg64,roger dubuis,golden square,t2796rd98f,135090,automatic,yellow gold,calf skin,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,<blank>,united states of america; california; los angeles,36000,https://www.chrono24.com/rogerdubuis/golden-square-ladies--id19918806.htm
10,buq3m5,roger dubuis,hommage,h37,<blank>,automatic,white gold,leather,1999 (approximation),"good 
                     (light signs of wear or scratches)",no original box; no original papers,men's watch/unisex,united states of america; new york; brooklyn,35995,https://www.chrono24.com/rogerdubuis/hommage-h37--id19909282.htm
11,8m7kq7,roger dubuis,velvet,rddbve0073,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,35593,https://www.chrono24.com/rogerdubuis/velvet-36-mm--id14473178.htm
